Name,From,To,Distance,Price
Postville Airport,3104,2294,42,7796
Postville Airport,3104,121,181,3297
Postville Airport,3104,2301,66,10333
Warri Airport,2973,161,455,9814
Warri Airport,2973,170,274,8762
Knox County Regional Airport,1996,1680,243,2951
Jackson Hole Airport,1997,1719,329,6810
Jackson Hole Airport,1997,1834,653,7107
Mundo Maya International,1994,896,179,5266
Mundo Maya International,1994,793,267,2464
Hancock County - Bar Harbor,1995,1680,315,10008
Bert Mooney Airport,1992,1719,575,2179
Cherry Capital Airport,1993,1866,360,5232
Cherry Capital Airport,1993,1771,333,7450
Cherry Capital Airport,1993,1882,604,10838
Gallatin Field,1990,1735,873,10383
Gallatin Field,1990,1882,1406,6387
Gallatin Field,1990,1719,558,475
Gallatin Field,1990,1834,843,10175
Gallatin Field,1990,2874,1385,4904
Gallatin Field,1990,1895,1127,3518
Gallatin Field,1990,1866,1908,11108
Billings Logan International Airport,1991,2992,322,4367
Billings Logan International Airport,1991,2434,304,5589
Billings Logan International Airport,1991,1748,317,11095
Billings Logan International Airport,1991,2993,339,8844
Billings Logan International Airport,1991,2988,393,6638
Billings Logan International Airport,1991,1815,1093,6623
Billings Logan International Airport,1991,1735,1068,5686
Billings Logan International Airport,1991,1882,1202,8820
Billings Logan International Airport,1991,1719,623,7157
Billings Logan International Airport,1991,2874,1413,8523
Billings Logan International Airport,1991,1895,1214,6734
Billings Logan International Airport,1991,1834,732,6134
Chicago Rockford International Airport ,1998,2874,2209,8377
Chicago Rockford International Airport ,1998,1895,2342,9262
Chicago Rockford International Airport ,1998,2984,1814,5587
Chicago Rockford International Airport ,1998,1757,1687,6444
Chicago Rockford International Airport ,1998,2105,1648,1983
Domododevo,1999,1425,718,6108
Domododevo,1999,2972,895,9488
Domododevo,1999,2678,954,2341
Domododevo,1999,1408,1236,1447
Domododevo,1999,1418,2619,3226
Domododevo,1999,2675,537,1727
Domododevo,1999,2669,2988,10235
Domododevo,1999,2673,2779,2590
Domododevo,1999,2670,2927,4943
Domododevo,1999,2871,2628,8766
Domododevo,1999,1419,2765,3954
Domododevo,1999,783,2004,5364
Domododevo,1999,1402,1157,2389
Domododevo,1999,1394,668,4564
Domododevo,1999,1375,4186,9949
Domododevo,1999,2634,3934,10372
Domododevo,1999,2207,704,3198
Domododevo,1999,1417,2966,2753
Domododevo,1999,2667,2878,2769
Domododevo,1999,1372,1416,2381
Domododevo,1999,2679,597,2742
Domododevo,1999,2651,1100,6084
Domododevo,1999,2649,1461,8624
Domododevo,1999,2663,977,3639
Domododevo,1999,1403,1567,6980
Domododevo,1999,2645,753,2525
Domododevo,1999,2681,529,6369
Domododevo,1999,2682,491,3016
Domododevo,1999,2978,674,3598
Domododevo,1999,2677,1908,7725
Domododevo,1999,1422,409,1522
Domododevo,1999,777,1131,1112
Domododevo,1999,1933,2207,8705
Domododevo,1999,655,2205,2086
Domododevo,1999,648,2434,1230
Domododevo,1999,653,2225,9752
Domododevo,1999,663,2240,6373
Domododevo,1999,671,1986,992
Domododevo,1999,1951,1557,1053
Domododevo,1999,195,2104,4716
Domododevo,1999,191,2055,3186
Domododevo,1999,196,1947,3962
Domododevo,1999,201,1636,577
Domododevo,1999,217,940,1929
Domododevo,1999,1397,659,504
Domododevo,1999,254,2552,6888
Domododevo,1999,3137,2993,3013
Domododevo,1999,1943,880,9774
Domododevo,1999,703,2398,5320
Domododevo,1999,1900,7060,9515
Domododevo,1999,1469,7117,6992
Domododevo,1999,2644,430,3230
Domododevo,1999,2897,1362,6287
Domododevo,1999,1368,2697,5743
Domododevo,1999,2210,1593,7724
Domododevo,1999,3162,3069,11197
Domododevo,1999,1011,3639,2259
Domododevo,1999,1009,3703,9275
Domododevo,1999,1013,3636,8161
Domododevo,1999,1366,2949,6653
Domododevo,1999,725,1672,5110
Domododevo,1999,2668,2992,10375
Domododevo,1999,2671,2127,9688
Domododevo,1999,1420,2771,968
Domododevo,1999,2674,2989,356
Domododevo,1999,2672,2258,4409
Domododevo,1999,2666,1729,10268
Domododevo,1999,577,3800,5684
Domododevo,1999,564,3431,3736
Domododevo,1999,568,3035,8721
Domododevo,1999,576,3443,10550
Domododevo,1999,1971,3132,4656
Domododevo,1999,1401,2231,9902
Domododevo,1999,1373,1886,10678
Domododevo,1999,1053,7531,10520
Domododevo,1999,720,2810,9602
Domododevo,1999,1367,3031,1860
Domododevo,1999,752,2433,7893
Domododevo,1999,755,2203,5758
Domododevo,1999,715,2610,6466
Domododevo,1999,521,2856,3027
Domododevo,1999,2176,1732,7542
Domododevo,1999,1387,734,2403
Domododevo,1999,1393,1119,5752
Domododevo,1999,1032,3528,340
Domododevo,1999,2680,1456,4782
Domododevo,1999,1426,1225,9392
Domododevo,1999,1005,2635,1003
Domododevo,1999,2199,1158,5081
Domododevo,1999,1398,3377,8212
Domododevo,1999,1407,1338,3696
Domododevo,1999,1416,2470,7519
Domododevo,1999,1399,2919,639
Domododevo,1999,551,1613,7415
Domododevo,1999,1384,3847,11085
Domododevo,1999,1410,1489,7514
Domododevo,1999,1947,1763,5409
Domododevo,1999,691,2393,454
Domododevo,1999,2153,379,2226
Domododevo,1999,1383,4743,11169
Domododevo,1999,1385,4221,743
Domododevo,1999,1400,2996,5501
Domododevo,1999,1396,1102,10042
Domododevo,1999,2215,3333,10399
Domododevo,1999,2070,820,3322
Domododevo,1999,555,2305,7091
Domododevo,1999,736,3921,11062
Domododevo,1999,1404,1297,5134
Domododevo,1999,1412,2314,3030
Domododevo,1999,2647,3103,4845
Domododevo,1999,2198,2874,9358
Domododevo,1999,2208,2354,1239
Domododevo,1999,2665,2178,7279
Domododevo,1999,2650,1440,10753
Domododevo,1999,2037,2799,7773
Domododevo,1999,1413,1141,7627
Domododevo,1999,556,2336,7229
Domododevo,1999,559,2058,7918
Domododevo,1999,1370,2570,631
Domododevo,1999,3232,3125,4519
Domododevo,1999,1406,916,10216
Domododevo,1999,1414,2148,5483
Domododevo,1999,1390,1185,8002
Domododevo,1999,1405,1183,7994
Domododevo,1999,1415,1426,9610
Domododevo,1999,1953,1612,622
Domododevo,1999,2063,1697,6136
Domododevo,1999,2164,2902,6881
Domododevo,1999,1427,1151,2575
Domododevo,1999,2630,3016,3725
Domododevo,1999,1386,4425,5343
Domododevo,1999,554,1536,10413
Domododevo,1999,584,3331,10612
Domododevo,1999,1409,858,2771
Domododevo,1999,700,2199,5602
Domododevo,1999,1374,4914,4909
Domododevo,1999,184,2267,2605
Domododevo,1999,1725,9553,10882
Domododevo,1999,1591,8396,3940
Domododevo,1999,2104,2153,6119
Domododevo,1999,198,1751,10996
Domododevo,1999,617,2546,6288
Domododevo,1999,176,2934,7920
Domododevo,1999,252,2551,9686
Domododevo,1999,241,2584,3208
Domododevo,1999,194,2101,4854
Domododevo,1999,3234,1774,4025
Domododevo,1999,2632,1744,5710
Domododevo,1999,3233,2023,10272
Domododevo,1999,1948,1687,7564
Domododevo,1999,699,2200,10744
Domododevo,1999,1448,6503,5702
Domododevo,1999,1363,3088,3693
Domododevo,1999,1376,5620,2137
Domododevo,1999,769,2190,4269
Domododevo,1999,1389,807,4650
Domododevo,1999,1388,816,6282
Domododevo,1999,3187,3704,6416
Domododevo,1999,2638,6248,4792
Domododevo,1999,1378,5912,10604
Domododevo,1999,1436,5397,7666
Domododevo,1999,1521,7427,3042
Domododevo,1999,2660,1914,3150
Domododevo,1999,522,3152,6576
Domododevo,1999,1391,748,2746
Domododevo,1999,2216,2457,7365
Domododevo,1999,1377,6169,2457
Domododevo,1999,2627,2054,3266
Domododevo,1999,688,2313,9287
Domododevo,1999,712,1605,1489
Domododevo,1999,1380,6797,9093
Domododevo,1999,789,9309,7425
Domododevo,1999,1529,7685,5250
Domododevo,1999,2023,3059,4101
Domododevo,1999,2000,7185,4830
Domododevo,1999,479,5266,10107
Domododevo,1999,1364,2270,8492
Domododevo,1999,1381,6678,4982
Domododevo,1999,1946,810,1978
Domododevo,1999,878,9603,4258
Domododevo,1999,1382,6428,10828
Domododevo,1999,2698,7738,3745
Domododevo,1999,1528,6700,3349
Domododevo,1999,2209,2251,5548
Domododevo,1999,2659,1960,3739
Domododevo,1999,781,1981,10332
Domododevo,1999,3178,1231,2508
Losuia Airport,2578,2239,215,5964
Tufi Airport,2579,2240,115,4050
Koln Bonn,194,2389,1945,5850
Koln Bonn,194,133,1605,2298
Koln Bonn,194,367,1191,5013
Koln Bonn,194,1933,1954,10029
Koln Bonn,194,759,2435,2318
Koln Bonn,194,568,1132,3724
Koln Bonn,194,607,941,4192
Koln Bonn,194,696,769,2996
Koln Bonn,194,675,1310,556
Koln Bonn,194,673,960,9783
Koln Bonn,194,686,1299,3251
Koln Bonn,194,655,1599,2586
Koln Bonn,194,608,935,7851
Koln Bonn,194,679,1615,9349
Koln Bonn,194,557,1252,10771
Koln Bonn,194,189,465,6046
Koln Bonn,194,287,959,5866
Koln Bonn,194,270,897,6170
Koln Bonn,194,728,1951,1350
Koln Bonn,194,703,1080,1263
Koln Bonn,194,211,394,8210
Koln Bonn,194,193,363,7580
Koln Bonn,194,2341,582,10150
Koln Bonn,194,648,2252,2220
Koln Bonn,194,573,1407,787
Koln Bonn,194,660,2074,5638
Koln Bonn,194,668,2172,8631
Koln Bonn,194,653,2226,1701
Koln Bonn,194,2180,706,1482
Koln Bonn,194,657,1742,3522
Koln Bonn,194,198,362,10631
Koln Bonn,194,254,535,8950
Koln Bonn,194,736,1852,9527
Koln Bonn,194,477,3174,9136
Koln Bonn,194,241,701,1995
Koln Bonn,194,688,593,1084
Koln Bonn,194,705,1238,1349
Koln Bonn,194,617,801,6229
Koln Bonn,194,687,1122,5427
Koln Bonn,194,1971,1303,4741
Koln Bonn,194,682,1486,6489
Koln Bonn,194,713,512,9519
Koln Bonn,194,706,835,7944
Koln Bonn,194,559,834,1753
Koln Bonn,194,491,2477,9368
Koln Bonn,194,663,2316,7841
Koln Bonn,194,560,836,1233
Koln Bonn,194,373,487,8698
Koln Bonn,194,2176,2034,7119
Koln Bonn,194,739,1149,9070
Koln Bonn,194,671,1679,5097
Koln Bonn,194,561,1068,2361
